transform,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_Matlab,21,Pair 21,4,2164,1177,0.264250576,2.615741014,-0.090596564,2173.333228,1243.237779,66.89209655
2k_Matlab,22,Pair 22,1,2766,1411,1.230587959,3.429121733,-0.423061788,2775.769923,1443.07318,33.52820077
2k_Matlab,22,Pair 22,2,1514,974,-0.580147922,4.127464294,0.160920829,1606.525705,1022.236586,104.3444985
2k_Matlab,23,Pair 23,1,2798,1443,1.428974986,3.823756218,-0.519676387,2815.11592,1467.430374,29.82948024
2k_Matlab,23,Pair 23,2,1426,1096,-0.601715386,2.71462822,-0.003285409,1445.001711,1148.925337,56.23305334
2k_Matlab,23,Pair 23,3,2206,1034,0.3785097,3.449705839,0.093907297,2192.295912,1077.022354,45.15224208
2k_Matlab,23,Pair 23,4,620,1556,-1.589001894,2.807316065,-0.519154429,626.7032885,1554.110459,6.964513006
2k_Matlab,24,Pair 24,1,2618,518,2.043557882,7.112775803,1.659160376,2637.82321,534.483581,25.78115797
2k_Matlab,24,Pair 24,2,2058,653,0.337926328,6.431075096,1.134203911,2058.101167,673.8729697,20.87321488
2k_Matlab,24,Pair 24,3,1300,1010,-1.193648458,4.378315926,0.114345171,1289.632996,1041.004709,32.69199871
2k_Matlab,25,Pair 25,1,1280,1357,-0.67865169,2.364202976,-0.240769699,1304.181987,1386.371111,38.04511359
2k_Matlab,25,Pair 25,2,828,1561,-1.431928158,3.033917904,-0.557584167,835.977824,1550.162722,13.45705296
2k_Matlab,25,Pair 25,3,582,970,-1.84900701,3.170248985,0.200664908,578.7771986,966.6311863,4.662119078
2k_Matlab,26,Pair 26,1,3492,1678,1.418410897,2.184612513,-0.457301497,3412.075972,1686.488866,80.37357192
2k_Matlab,26,Pair 26,2,2318,1306,0.499326915,2.906659126,-0.260213494,2332.003804,1362.569337,58.2768948
2k_Matlab,26,Pair 26,3,2036,1068,0.122553989,3.502087831,-0.188121364,2015.332958,1257.903594,191.024872
2k_Matlab,29,Pair 29,1,2374,1293,0.913406491,6.288268089,-0.554604769,2267.225739,1312.783199,108.5915175
2k_Matlab,30,Pair 30,1,370,873,-4.500569344,5.266636372,0.565169275,-67.48562669,810.3820004,441.944213
2k_Matlab,30,Pair 30,2,1768,1036,-0.635668516,7.657513618,0.059359528,1720.48941,1062.322981,54.31533393
2k_Matlab,30,Pair 30,3,932,1250,-3.222494602,7.236100197,-0.526938558,826.1617831,1242.803799,106.0825785
2k_Matlab,31,Pair 31,1,1060,1451,-2.451100588,6.547836781,-1.012145281,1004.110346,1448.224387,55.95853326
2k_Matlab,31,Pair 31,2,1734,1606,-0.620961785,7.471808434,-1.661425352,1707.590516,1618.67992,29.29575409
2k_Matlab,32,Pair 32,1,1628,1488,-0.831801713,7.01644516,-1.195568919,1626.821652,1492.283179,4.442311503
2k_Matlab,32,Pair 32,2,2056,1835,0.388932377,6.341479301,-1.976750374,2055.723094,1849.806527,14.8091161
2k_Matlab,36,Pair 36,1,628,1250,-2.160076618,3.936044693,-0.251130134,625.4902112,1248.470291,2.939226138
2k_Matlab,36,Pair 36,2,2096,1511,0.725066602,9.195584297,-1.686050415,2099.796713,1527.522373,16.95298902
2k_Matlab,37,Pair 37,1,482,1668,-5.078583717,8.125874519,-2.047044754,369.4752052,1667.764804,112.5250406
2k_Matlab,37,Pair 37,2,1704,1128,-0.364478946,3.786136389,-0.023307888,1711.629984,1135.814465,10.92165367
2k_Matlab,37,Pair 37,3,2038,1147,0.209737122,3.98927331,-0.081072763,2054.808417,1172.152076,30.25144319
2k_Matlab,39,Pair 39,1,1798,1117,-0.554783821,9.764578819,-0.192815453,1777.630183,1120.813132,20.72364399
2k_Matlab,39,Pair 39,2,1000,460,-1.55228436,3.746417522,0.976319849,968.3592453,492.8646366,45.62040874
2k_Matlab,40,Pair 40,1,1668,417,-0.454003364,2.865203857,1.063067675,1598.471051,293.5610929,141.6737044
2k_Matlab,41,Pair 41,1,1432,1683,-0.629106939,2.895113468,-0.693336129,1434.020315,1688.133045,5.516323227
2k_Matlab,42,Pair 42,1,1472,1999,-0.634747803,3.261282206,-1.232457399,1467.08556,2010.404091,12.41793122
2k_Matlab,43,Pair 43,1,1828,850,-0.365855366,8.363074303,0.77884239,1817.604418,855.2348226,11.63922186
2k_Matlab,43,Pair 43,2,782,1087,-1.758696198,3.606682301,0.023494866,787.5759045,1092.004894,7.492641414
2k_Koide,1,Pair 1,1,582,940,-1.755182266,2.979001284,0.215976402,537.7995744,952.1661664,45.84422791
2k_Koide,2,Pair 2,1,2184,1554,0.339720845,2.979321241,-0.568287313,2214.297064,1575.71486,37.2752893
2k_Koide,2,Pair 2,2,2700,1659,0.839911044,2.547699451,-0.560356319,2733.329874,1658.149464,33.34072434
2k_Koide,2,Pair 2,3,2324,910,1.248814464,6.729531288,0.425969362,2400.184178,939.0547531,81.53654148
2k_Koide,2,Pair 2,4,3366,882,2.961307287,4.877955914,0.473424524,3462.493556,861.9318847,98.55828512
2k_Koide,2,Pair 2,5,3642,1389,3.345664024,4.522165298,-0.513964236,3756.884758,1382.820567,115.0508278
2k_Koide,3,Pair 3,1,1844,659,-0.236853689,5.42579174,0.919816792,1837.868951,691.108337,32.68845473
2k_Koide,3,Pair 3,2,1630,651,-0.748585224,5.496043682,0.952216387,1613.929649,681.6180535,34.57920456
2k_Koide,3,Pair 3,3,2544,1317,1.440101624,5.284475803,-0.486821651,2615.856588,1327.027022,72.55281099
2k_Koide,3,Pair 3,4,560,809,-3.291623354,5.532059669,0.614684761,485.3478938,828.9410188,77.26953594
2k_Koide,3,Pair 3,5,3042,880,2.51827383,5.789002419,0.433385998,3034.198661,911.7483087,32.69275138
2k_Koide,3,Pair 3,6,176,1593,-1.804683089,2.351196527,-0.466822505,167.6276263,1594.199929,8.45792356
2k_Koide,3,Pair 3,7,794,1644,-1.139853597,2.285421848,-0.487943113,771.3418875,1639.383092,23.12370859
2k_Koide,4,Pair 4,1,1956,1135,0.0984006,7.439972878,-0.182890698,1976.276896,1151.354128,26.0501441
2k_Koide,4,Pair 4,2,2458,1252,1.324606538,5.617760181,-0.417129189,2524.148633,1280.877751,72.17732432
2k_Koide,4,Pair 4,3,1670,1254,-0.832940519,7.599716663,-0.583759129,1676.868805,1278.083679,25.04404279
2k_Koide,5,Pair 5,1,426,1075,-4.210912704,6.421913624,0.032969084,332.7985767,1083.935968,93.62882479
2k_Koide,5,Pair 5,2,788,1259,-2.78150773,5.639833927,-0.416887105,733.6763614,1280.758582,58.51917304
2k_Koide,5,Pair 5,3,2292,841,0.851138175,5.075316429,0.557216346,2351.618067,835.578816,59.86403921
2k_Koide,6,Pair 6,1,1792,1520,-0.321248889,5.65302372,-1.037139654,1805.906834,1543.599376,27.39216292
2k_Koide,7,Pair 7,1,802,918,-2.120479822,4.25227499,0.313069612,733.8182747,930.8545605,69.38290422
2k_Koide,7,Pair 7,2,1782,762,-0.284796208,4.064594269,0.546786547,1775.595421,789.2350498,27.97796576
2k_Koide,7,Pair 7,3,1172,1691,-1.706127405,5.248156071,-1.32160008,1148.315023,1716.594576,34.87205872
2k_Koide,7,Pair 7,4,2464,1880,1.658795834,7.047649384,-2.31817174,2536.323633,1916.064166,80.81665648
2k_Koide,8,Pair 8,1,1154,1000,-1.608715057,4.739255428,0.172281846,1122.494647,1016.877563,35.7412846
2k_Koide,8,Pair 8,2,2488,848,1.105546713,4.59732008,0.447523475,2530.07423,868.6222042,46.85633541
