transform,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_manual_50_wD,2,Pair 2,1,2184,1554,0.339720845,2.979321241,-0.568287313,2179.57225,1552.135823,4.804178117
2k_manual_50_wD,2,Pair 2,2,2700,1659,0.839911044,2.547699451,-0.560356319,2662.248862,1633.594377,45.50378122
2k_manual_50_wD,2,Pair 2,3,2324,910,1.248814464,6.729531288,0.425969362,2385.847796,926.1484502,63.92121931
2k_manual_50_wD,2,Pair 2,4,3366,882,2.961307287,4.877955914,0.473424524,3413.91303,862.4833008,51.73548125
2k_manual_50_wD,2,Pair 2,5,3642,1389,3.345664024,4.522165298,-0.513964236,3698.718317,1373.339972,58.84049578
2k_manual_50_wD,3,Pair 3,1,1844,659,-0.236853689,5.42579174,0.919816792,1834.299098,685.6248765,28.33710535
2k_manual_50_wD,3,Pair 3,2,1630,651,-0.748585224,5.496043682,0.952216387,1615.994018,674.9162053,27.71556232
2k_manual_50_wD,3,Pair 3,3,2544,1317,1.440101624,5.284475803,-0.486821651,2586.424043,1308.982309,43.17502464
2k_manual_50_wD,3,Pair 3,4,560,809,-3.291623354,5.532059669,0.614684761,516.2703221,812.9890305,43.91124109
2k_manual_50_wD,3,Pair 3,5,3042,880,2.51827383,5.789002419,0.433385998,3001.356808,905.2295205,47.83720086
2k_manual_50_wD,3,Pair 3,6,176,1593,-1.804683089,2.351196527,-0.466822505,238.2742574,1564.748474,68.38297932
2k_manual_50_wD,3,Pair 3,7,794,1644,-1.139853597,2.285421848,-0.487943113,815.8947105,1607.38051,42.66574009
2k_manual_50_wD,4,Pair 4,1,1956,1135,0.0984006,7.439972878,-0.182890698,1970.84017,1130.656547,15.46273673
2k_manual_50_wD,4,Pair 4,2,2458,1252,1.324606538,5.617760181,-0.417129189,2499.5622,1263.030961,43.00114616
2k_manual_50_wD,4,Pair 4,3,1670,1254,-0.832940519,7.599716663,-0.583759129,1677.211206,1252.874894,7.298448984
2k_manual_50_wD,5,Pair 5,1,426,1075,-4.210912704,6.421913624,0.032969084,364.2115899,1058.13815,64.0478696
2k_manual_50_wD,5,Pair 5,2,788,1259,-2.78150773,5.639833927,-0.416887105,758.8881896,1253.598137,29.60874252
