1,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_Matlab,17,Pair 17,3,1256,791,0.458713055,1.911621571,-0.331564724,1240.673616,795.6456342,16.01499167
2k_Matlab,18,Pair 18,1,1530,512,0.907741845,1.967763662,0.111677781,1496.261336,546.9878059,48.60497925
2k_Matlab,18,Pair 18,2,1504,775,0.875229418,1.966832638,-0.318891615,1473.142034,789.8179719,34.23136545
2k_Matlab,19,Pair 19,1,1818,546,1.282537222,1.814601898,0.068482079,1763.82701,579.9720939,63.94385072
2k_Matlab,19,Pair 19,2,1417,518,0.793267787,2.119339943,0.10523472,1398.69117,547.3326519,34.57770568
2k_Matlab,19,Pair 19,3,1393,764,0.763306797,2.12741375,-0.328383088,1377.218086,774.5482803,18.98249249
2k_Matlab,19,Pair 19,4,1791,834,1.255433321,1.793434978,-0.359509081,1745.864469,840.6777217,45.6268355
2k_Matlab,22,Pair 22,1,1530,820,0.862586677,1.829873562,-0.345283777,1499.440848,823.2313945,30.72952472
2k_Matlab,22,Pair 22,2,982,904,0.014975999,1.688659787,-0.477302015,987.5254779,912.3567927,10.01832771
2k_Koide,1,Pair 1,1,1060,348,0.644281268,8.177530289,1.35458672,1068.89131,342.077899,10.68300893
2k_Koide,1,Pair 1,2,1047,658,0.41730091,5.614927769,-0.56500572,1062.308088,671.240563,20.23981406
2k_Koide,1,Pair 1,3,707,335,-1.409311652,6.100589752,1.052605152,690.7701524,339.1273241,16.7464252
2k_Koide,1,Pair 1,4,984,904,0.022453083,1.686300993,-0.459020048,985.6296946,889.340869,14.74944152
2k_Koide,1,Pair 1,5,1716,757,2.366709709,3.7164886,-0.58923769,1757.523027,751.7608557,41.85224443
2k_Koide,2,Pair 2,1,1177,514,0.525034308,2.828646421,0.0989649,1190.598544,521.6201665,15.58805107
2k_Koide,2,Pair 2,2,936,507,-0.07467816,2.805514336,0.108223192,939.8142112,517.893625,11.5420654
2k_Koide,2,Pair 2,3,925,685,-0.096847892,2.750538349,-0.302333862,929.8219036,691.7992653,8.335512138
2k_Koide,2,Pair 2,4,1181,695,0.514666975,2.708992958,-0.297373027,1196.139063,693.630451,15.20088441
2k_Koide,2,Pair 2,5,882,372,-0.510918498,7.270203114,1.000199914,886.3351914,379.1282012,8.34296934
2k_Koide,2,Pair 2,6,1104,430,0.973343909,7.894141674,0.742744267,1123.536552,430.0680206,19.53667011
2k_Koide,2,Pair 2,7,481,289,-2.231410027,5.250240326,1.141669035,452.5261307,285.9435055,28.63744736
2k_Koide,3,Pair 3,1,1554,602,2.169694424,4.348338604,-0.15495187,1593.17512,598.1319625,39.36561641
2k_Koide,3,Pair 3,2,1384,590,1.565057993,4.420692444,-0.122775726,1407.972833,587.534092,24.09932398
2k_Koide,3,Pair 3,3,1378,712,1.548813105,4.378613472,-0.550698757,1408.543721,708.2815415,30.76923537
2k_Koide,3,Pair 3,4,1548,721,2.15353775,4.317194939,-0.564489305,1593.458376,716.320042,45.69864234
2k_Koide,4,Pair 4,1,1522,598,2.128122807,4.506841183,-0.143206581,1559.88331,592.6806908,38.25493769
2k_Koide,4,Pair 4,2,1394,591,1.574003935,4.320743084,-0.111110955,1420.576748,585.4402151,27.15206694
